date,region,state_name,gen_actual,gen_programmed,capacity,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy,total_gen_with_re
2017-09-01,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-01,Eastern,Bihar,60.17,64.22,4980.0,,,,,60.17
2017-09-01,Eastern,Jharkhand,87.1,75.58,5318.2,,,,,87.1
2017-09-01,Eastern,Odisha,126.51,139.82,9822.25,,,,,126.51
2017-09-01,Eastern,Sikkim,40.1,44.1,2061.0,,,,,40.1
2017-09-01,Eastern,West Bengal,184.6,202.71,15603.0,,,,,184.6
2017-09-01,North Eastern,Arunachal Pradesh,5.31,7.0,405.0,,,,,5.31
2017-09-01,North Eastern,Assam,16.759999999999998,19.92,1439.45,,,,,16.759999999999998
2017-09-01,North Eastern,Manipur,2.52,2.33,141.0,,,,,2.52
2017-09-01,North Eastern,Meghalaya,5.66,5.609999999999999,372.0,,,,,5.66
2017-09-01,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-01,North Eastern,Nagaland,1.72,1.67,75.0,,,,,1.72
2017-09-01,North Eastern,Tripura,5.15,16.62,1132.1,,,,,5.15
2017-09-01,Northern,Delhi,26.84,19.09,3048.4,,,,,26.84
2017-09-01,Northern,Haryana,45.06,59.56,5971.59,,,,,45.06
2017-09-01,Northern,Himachal Pradesh,182.57,138.84,9633.02,,,,,182.57
2017-09-01,Northern,Jammu And Kashmir,60.220000000000006,54.44,3294.0,,,,,60.220000000000006
2017-09-01,Northern,Punjab,59.74,84.29,7746.3,,,,,59.74
2017-09-01,Northern,Rajasthan,121.56,152.7,11114.13,,,,,121.56
2017-09-01,Northern,Uttar Pradesh,280.23,359.4,23827.74,,,,,280.23
2017-09-01,Northern,Uttarakhand,64.36,59.54,4206.35,,,,,64.36
2017-09-01,Southern,Andhra Pradesh,178.31,183.51,17057.2,,,,,178.31
2017-09-01,Southern,Karnataka,123.11,137.35,13370.52,,,,,123.11
2017-09-01,Southern,Kerala,17.47,21.37,2575.04,,,,,17.47
2017-09-01,Southern,Puducherry,0.63,0.6,32.5,,,,,0.63
2017-09-01,Southern,Tamil Nadu,226.03,258.0,18832.08,,,,,226.03
2017-09-01,Southern,Telangana,147.57999999999998,150.13,9458.1,,,,,147.57999999999998
2017-09-01,Western,Chhatisgarh,260.28000000000003,280.66,21028.0,,,,,260.28000000000003
2017-09-01,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-01,Western,Gujarat,222.73,290.52,25473.41,,,,,222.73
2017-09-01,Western,Madhya Pradesh,285.75,283.05,19460.0,,,,,285.75
2017-09-01,Western,Maharashtra,280.91,349.83,32823.0,,,,,280.91
2017-09-02,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-02,Eastern,Bihar,63.73,64.22,4980.0,,,,,63.73
2017-09-02,Eastern,Jharkhand,86.41,75.58,5318.2,,,,,86.41
2017-09-02,Eastern,Odisha,129.15,139.82,9822.25,,,,,129.15
2017-09-02,Eastern,Sikkim,42.34,44.1,2061.0,,,,,42.34
2017-09-02,Eastern,West Bengal,178.03,202.71,15603.0,,,,,178.03
2017-09-02,North Eastern,Arunachal Pradesh,5.1,7.0,405.0,,,,,5.1
2017-09-02,North Eastern,Assam,16.55,19.92,1439.45,,,,,16.55
2017-09-02,North Eastern,Manipur,2.47,2.33,141.0,,,,,2.47
2017-09-02,North Eastern,Meghalaya,5.74,5.609999999999999,372.0,,,,,5.74
2017-09-02,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-02,North Eastern,Nagaland,1.78,1.67,75.0,,,,,1.78
2017-09-02,North Eastern,Tripura,5.67,16.62,1132.1,,,,,5.67
2017-09-02,Northern,Delhi,23.34,19.09,3048.4,,,,,23.34
2017-09-02,Northern,Haryana,40.29,59.56,5971.59,,,,,40.29
2017-09-02,Northern,Himachal Pradesh,181.89000000000001,138.84,9633.02,,,,,181.89000000000001
2017-09-02,Northern,Jammu And Kashmir,60.24,54.44,3294.0,,,,,60.24
2017-09-02,Northern,Punjab,52.6,84.29,7746.3,,,,,52.6
2017-09-02,Northern,Rajasthan,124.89,152.7,11114.13,,,,,124.89
2017-09-02,Northern,Uttar Pradesh,314.11,359.4,23827.74,,,,,314.11
2017-09-02,Northern,Uttarakhand,62.93,59.54,4206.35,,,,,62.93
2017-09-02,Southern,Andhra Pradesh,171.96,183.51,17057.2,,,,,171.96
2017-09-02,Southern,Karnataka,119.06,137.35,13370.52,,,,,119.06
2017-09-02,Southern,Kerala,18.240000000000002,21.37,2575.04,,,,,18.240000000000002
2017-09-02,Southern,Puducherry,0.63,0.6,32.5,,,,,0.63
2017-09-02,Southern,Tamil Nadu,214.12,258.0,18832.08,,,,,214.12
2017-09-02,Southern,Telangana,151.03,150.13,9458.1,,,,,151.03
2017-09-02,Western,Chhatisgarh,266.69,280.66,21028.0,,,,,266.69
2017-09-02,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-02,Western,Gujarat,227.74,290.52,25473.41,,,,,227.74
2017-09-02,Western,Madhya Pradesh,298.55,283.05,19460.0,,,,,298.55
2017-09-02,Western,Maharashtra,285.73,349.83,32823.0,,,,,285.73
2017-09-03,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-03,Eastern,Bihar,61.26,64.22,4980.0,,,,,61.26
2017-09-03,Eastern,Jharkhand,82.99,75.58,5318.2,,,,,82.99
2017-09-03,Eastern,Odisha,127.3,139.82,9822.25,,,,,127.3
2017-09-03,Eastern,Sikkim,42.92,44.1,2061.0,,,,,42.92
2017-09-03,Eastern,West Bengal,183.92,207.07,15603.0,,,,,183.92
2017-09-03,North Eastern,Arunachal Pradesh,5.77,7.0,405.0,,,,,5.77
2017-09-03,North Eastern,Assam,16.68,19.92,1439.45,,,,,16.68
2017-09-03,North Eastern,Manipur,2.54,2.33,141.0,,,,,2.54
2017-09-03,North Eastern,Meghalaya,7.67,5.609999999999999,372.0,,,,,7.67
2017-09-03,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-03,North Eastern,Nagaland,1.8,1.67,75.0,,,,,1.8
2017-09-03,North Eastern,Tripura,4.9,16.62,1132.1,,,,,4.9
2017-09-03,Northern,Delhi,26.87,19.09,3048.4,,,,,26.87
2017-09-03,Northern,Haryana,38.230000000000004,59.56,5971.59,,,,,38.230000000000004
2017-09-03,Northern,Himachal Pradesh,176.32999999999998,138.84,9633.02,,,,,176.32999999999998
2017-09-03,Northern,Jammu And Kashmir,60.89,54.44,3294.0,,,,,60.89
2017-09-03,Northern,Punjab,44.06,84.29,7746.3,,,,,44.06
2017-09-03,Northern,Rajasthan,120.41,152.7,11114.13,,,,,120.41
2017-09-03,Northern,Uttar Pradesh,318.31,359.4,23827.74,,,,,318.31
2017-09-03,Northern,Uttarakhand,59.93,59.54,4206.35,,,,,59.93
2017-09-03,Southern,Andhra Pradesh,161.36,183.51,17057.2,,,,,161.36
2017-09-03,Southern,Karnataka,110.35,137.35,13370.52,,,,,110.35
2017-09-03,Southern,Kerala,13.08,21.37,2575.04,,,,,13.08
2017-09-03,Southern,Puducherry,0.63,0.6,32.5,,,,,0.63
2017-09-03,Southern,Tamil Nadu,200.94,253.5,18832.08,,,,,200.94
2017-09-03,Southern,Telangana,144.97,150.13,9458.1,,,,,144.97
2017-09-03,Western,Chhatisgarh,272.58,280.66,21028.0,,,,,272.58
2017-09-03,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-03,Western,Gujarat,235.96,290.52,25473.41,,,,,235.96
2017-09-03,Western,Madhya Pradesh,299.08,283.05,19460.0,,,,,299.08
2017-09-03,Western,Maharashtra,276.85,349.83,32823.0,,,,,276.85
2017-09-04,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-04,Eastern,Bihar,63.78,64.22,4980.0,,,,,63.78
2017-09-04,Eastern,Jharkhand,86.96000000000001,75.58,5318.2,,,,,86.96000000000001
2017-09-04,Eastern,Odisha,132.63,139.82,9822.25,,,,,132.63
2017-09-04,Eastern,Sikkim,42.8,44.1,2061.0,,,,,42.8
2017-09-04,Eastern,West Bengal,199.62,207.07,15603.0,,,,,199.62
2017-09-04,North Eastern,Arunachal Pradesh,6.56,7.0,405.0,,,,,6.56
2017-09-04,North Eastern,Assam,17.47,19.92,1439.45,,,,,17.47
2017-09-04,North Eastern,Manipur,2.55,2.33,141.0,,,,,2.55
2017-09-04,North Eastern,Meghalaya,7.1,5.609999999999999,372.0,,,,,7.1
2017-09-04,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-04,North Eastern,Nagaland,1.82,1.67,75.0,,,,,1.82
2017-09-04,North Eastern,Tripura,5.449999999999999,16.62,1132.1,,,,,5.449999999999999
2017-09-04,Northern,Delhi,27.919999999999998,19.09,3048.4,,,,,27.919999999999998
2017-09-04,Northern,Haryana,49.55,59.56,5971.59,,,,,49.55
2017-09-04,Northern,Himachal Pradesh,159.42,138.84,9633.02,,,,,159.42
2017-09-04,Northern,Jammu And Kashmir,60.12,54.44,3294.0,,,,,60.12
2017-09-04,Northern,Punjab,57.84,84.29,7746.3,,,,,57.84
2017-09-04,Northern,Rajasthan,130.85999999999999,152.7,11114.13,,,,,130.85999999999999
2017-09-04,Northern,Uttar Pradesh,354.85,359.4,23827.74,,,,,354.85
2017-09-04,Northern,Uttarakhand,60.870000000000005,59.54,4206.35,,,,,60.870000000000005
2017-09-04,Southern,Andhra Pradesh,171.05,183.51,17057.2,,,,,171.05
2017-09-04,Southern,Karnataka,131.28,137.35,13370.52,,,,,131.28
2017-09-04,Southern,Kerala,12.69,21.37,2575.04,,,,,12.69
2017-09-04,Southern,Puducherry,0.57,0.6,32.5,,,,,0.57
2017-09-04,Southern,Tamil Nadu,219.56,253.5,18832.08,,,,,219.56
2017-09-04,Southern,Telangana,147.05,150.13,9458.1,,,,,147.05
2017-09-04,Western,Chhatisgarh,264.78,280.66,21028.0,,,,,264.78
2017-09-04,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-04,Western,Gujarat,254.72,290.52,25473.41,,,,,254.72
2017-09-04,Western,Madhya Pradesh,319.16,283.05,19460.0,,,,,319.16
2017-09-04,Western,Maharashtra,317.96,349.83,32823.0,,,,,317.96
2017-09-05,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-05,Eastern,Bihar,64.25,64.22,4980.0,,,,,64.25
2017-09-05,Eastern,Jharkhand,88.08,75.58,5318.2,,,,,88.08
2017-09-05,Eastern,Odisha,132.83,144.35999999999999,9822.25,,,,,132.83
2017-09-05,Eastern,Sikkim,35.91,44.1,2061.0,,,,,35.91
2017-09-05,Eastern,West Bengal,208.04,207.07,15603.0,,,,,208.04
2017-09-05,North Eastern,Arunachal Pradesh,6.36,7.0,405.0,,,,,6.36
2017-09-05,North Eastern,Assam,17.740000000000002,19.92,1439.45,,,,,17.740000000000002
2017-09-05,North Eastern,Manipur,2.54,2.33,141.0,,,,,2.54
2017-09-05,North Eastern,Meghalaya,5.859999999999999,5.609999999999999,372.0,,,,,5.859999999999999
2017-09-05,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-05,North Eastern,Nagaland,1.75,1.67,75.0,,,,,1.75
2017-09-05,North Eastern,Tripura,5.25,16.62,1132.1,,,,,5.25
2017-09-05,Northern,Delhi,24.14,19.09,3048.4,,,,,24.14
2017-09-05,Northern,Haryana,60.41,59.56,5971.59,,,,,60.41
2017-09-05,Northern,Himachal Pradesh,149.7,138.84,9633.02,,,,,149.7
2017-09-05,Northern,Jammu And Kashmir,56.26,54.44,3294.0,,,,,56.26
2017-09-05,Northern,Punjab,64.64999999999999,84.29,7746.3,,,,,64.64999999999999
2017-09-05,Northern,Rajasthan,133.5,152.7,11114.13,,,,,133.5
2017-09-05,Northern,Uttar Pradesh,366.59,363.75,23827.74,,,,,366.59
2017-09-05,Northern,Uttarakhand,67.78,59.54,4206.35,,,,,67.78
2017-09-05,Southern,Andhra Pradesh,170.9,183.51,17057.2,,,,,170.9
2017-09-05,Southern,Karnataka,134.42,137.35,13370.52,,,,,134.42
2017-09-05,Southern,Kerala,14.2,21.37,2575.04,,,,,14.2
2017-09-05,Southern,Puducherry,0.62,0.6,32.5,,,,,0.62
2017-09-05,Southern,Tamil Nadu,220.85,257.69,18832.08,,,,,220.85
2017-09-05,Southern,Telangana,145.23,150.13,9458.1,,,,,145.23
2017-09-05,Western,Chhatisgarh,271.68,280.66,21028.0,,,,,271.68
2017-09-05,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-05,Western,Gujarat,260.24,290.52,25473.41,,,,,260.24
2017-09-05,Western,Madhya Pradesh,313.64,283.05,19460.0,,,,,313.64
2017-09-05,Western,Maharashtra,318.83,349.83,32823.0,,,,,318.83
2017-09-06,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-06,Eastern,Bihar,64.22,64.22,4980.0,,,,,64.22
2017-09-06,Eastern,Jharkhand,86.09,75.58,5318.2,,,,,86.09
2017-09-06,Eastern,Odisha,133.49,144.35999999999999,9822.25,,,,,133.49
2017-09-06,Eastern,Sikkim,42.65,44.1,2061.0,,,,,42.65
2017-09-06,Eastern,West Bengal,214.53,207.07,15603.0,,,,,214.53
2017-09-06,North Eastern,Arunachal Pradesh,9.57,7.0,405.0,,,,,9.57
2017-09-06,North Eastern,Assam,17.009999999999998,19.92,1439.45,,,,,17.009999999999998
2017-09-06,North Eastern,Manipur,2.54,2.33,141.0,,,,,2.54
2017-09-06,North Eastern,Meghalaya,7.800000000000001,5.609999999999999,372.0,,,,,7.800000000000001
2017-09-06,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-06,North Eastern,Nagaland,1.53,1.67,75.0,,,,,1.53
2017-09-06,North Eastern,Tripura,5.79,16.62,1132.1,,,,,5.79
2017-09-06,Northern,Delhi,28.53,19.09,3048.4,,,,,28.53
2017-09-06,Northern,Haryana,62.83,59.56,5971.59,,,,,62.83
2017-09-06,Northern,Himachal Pradesh,152.98,138.84,9633.02,,,,,152.98
2017-09-06,Northern,Jammu And Kashmir,60.480000000000004,54.44,3294.0,,,,,60.480000000000004
2017-09-06,Northern,Punjab,80.29,84.29,7746.3,,,,,80.29
2017-09-06,Northern,Rajasthan,142.73,152.7,11114.13,,,,,142.73
2017-09-06,Northern,Uttar Pradesh,370.18,363.75,23827.74,,,,,370.18
2017-09-06,Northern,Uttarakhand,62.87,59.54,4206.35,,,,,62.87
2017-09-06,Southern,Andhra Pradesh,171.57999999999998,183.51,17057.2,,,,,171.57999999999998
2017-09-06,Southern,Karnataka,121.76,137.35,13370.52,,,,,121.76
2017-09-06,Southern,Kerala,16.47,21.37,2575.04,,,,,16.47
2017-09-06,Southern,Puducherry,0.66,0.6,32.5,,,,,0.66
2017-09-06,Southern,Tamil Nadu,206.32,257.69,18832.08,,,,,206.32
2017-09-06,Southern,Telangana,144.42000000000002,150.13,9458.1,,,,,144.42000000000002
2017-09-06,Western,Chhatisgarh,275.86,280.66,21388.0,,,,,275.86
2017-09-06,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-06,Western,Gujarat,277.38,304.24,25473.41,,,,,277.38
2017-09-06,Western,Madhya Pradesh,312.51,283.05,19460.0,,,,,312.51
2017-09-06,Western,Maharashtra,350.85,353.79,32823.0,,,,,350.85
2017-09-07,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-07,Eastern,Bihar,56.46,64.22,4980.0,,,,,56.46
2017-09-07,Eastern,Jharkhand,81.36,75.58,5318.2,,,,,81.36
2017-09-07,Eastern,Odisha,135.57,144.35999999999999,9822.25,,,,,135.57
2017-09-07,Eastern,Sikkim,42.54,44.1,2061.0,,,,,42.54
2017-09-07,Eastern,West Bengal,221.1,207.07,15603.0,,,,,221.1
2017-09-07,North Eastern,Arunachal Pradesh,5.8,7.0,405.0,,,,,5.8
2017-09-07,North Eastern,Assam,18.45,19.92,1439.45,,,,,18.45
2017-09-07,North Eastern,Manipur,2.54,2.33,141.0,,,,,2.54
2017-09-07,North Eastern,Meghalaya,7.45,5.609999999999999,372.0,,,,,7.45
2017-09-07,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-07,North Eastern,Nagaland,1.81,1.67,75.0,,,,,1.81
2017-09-07,North Eastern,Tripura,8.780000000000001,16.62,1132.1,,,,,8.780000000000001
2017-09-07,Northern,Delhi,24.669999999999998,19.09,3048.4,,,,,24.669999999999998
2017-09-07,Northern,Haryana,65.08,59.56,5971.59,,,,,65.08
2017-09-07,Northern,Himachal Pradesh,155.27,138.84,9633.02,,,,,155.27
2017-09-07,Northern,Jammu And Kashmir,61.08,54.44,3294.0,,,,,61.08
2017-09-07,Northern,Punjab,89.67,84.29,7746.3,,,,,89.67
2017-09-07,Northern,Rajasthan,154.93,152.6,11114.13,,,,,154.93
2017-09-07,Northern,Uttar Pradesh,368.76,363.75,23827.74,,,,,368.76
2017-09-07,Northern,Uttarakhand,66.0,59.54,4206.35,,,,,66.0
2017-09-07,Southern,Andhra Pradesh,173.55,183.51,17057.2,,,,,173.55
2017-09-07,Southern,Karnataka,119.94,137.35,13370.52,,,,,119.94
2017-09-07,Southern,Kerala,17.87,21.37,2575.04,,,,,17.87
2017-09-07,Southern,Puducherry,0.66,0.6,32.5,,,,,0.66
2017-09-07,Southern,Tamil Nadu,217.8,267.32,18832.08,,,,,217.8
2017-09-07,Southern,Telangana,144.63,150.13,9458.1,,,,,144.63
2017-09-07,Western,Chhatisgarh,267.42,280.66,21388.0,,,,,267.42
2017-09-07,Western,Goa,0.0,0.0,48.0,,,,,0.0
2017-09-07,Western,Gujarat,299.57,304.24,25473.41,,,,,299.57
2017-09-07,Western,Madhya Pradesh,311.09999999999997,283.05,19460.0,,,,,311.09999999999997
2017-09-07,Western,Maharashtra,354.28,353.79,32823.0,,,,,354.28
2017-09-08,Eastern,Andaman And Nicobar Islands,0.27,0.53,40.05,,,,,0.27
2017-09-08,Eastern,Bihar,55.92,64.22,4980.0,,,,,55.92
2017-09-08,Eastern,Jharkhand,82.0,75.58,5318.2,,,,,82.0
2017-09-08,Eastern,Odisha,137.41,144.35999999999999,9822.25,,,,,137.41
2017-09-08,Eastern,Sikkim,42.91,44.1,2061.0,,,,,42.91
2017-09-08,Eastern,West Bengal,217.85,212.81,15603.0,,,,,217.85
2017-09-08,North Eastern,Arunachal Pradesh,6.0,7.0,405.0,,,,,6.0
2017-09-08,North Eastern,Assam,18.880000000000003,19.92,1439.45,,,,,18.880000000000003
2017-09-08,North Eastern,Manipur,2.54,2.33,141.0,,,,,2.54
2017-09-08,North Eastern,Meghalaya,7.45,5.609999999999999,372.0,,,,,7.45
2017-09-08,North Eastern,Mizoram,0.0,0.6,30.0,,,,,0.0
2017-09-08,North Eastern,Nagaland,1.81,1.67,75.0,,,,,1.81
2017-09-08,North Eastern,Tripura,8.49,16.62,1132.1,,,,,8.49
